time,load
2016-01-01 00:00:00,19125
2016-01-01 01:00:00,18912
2016-01-01 02:00:00,18592
2016-01-01 03:00:00,18536
2016-01-01 04:00:00,18810
2016-01-01 05:00:00,19034
2016-01-01 06:00:00,19406
2016-01-01 07:00:00,19958
2016-01-01 08:00:00,20376
2016-01-01 09:00:00,20984
2016-01-01 10:00:00,21367
2016-01-01 11:00:00,21649
2016-01-01 12:00:00,21808
2016-01-01 13:00:00,22168
2016-01-01 14:00:00,22690
2016-01-01 15:00:00,23018
2016-01-01 16:00:00,22824
2016-01-01 17:00:00,22625
2016-01-01 18:00:00,22113
2016-01-01 19:00:00,21793
2016-01-01 20:00:00,21429
2016-01-01 21:00:00,20805
2016-01-01 22:00:00,20338
2016-01-01 23:00:00,19888
2016-01-02 00:00:00,19449
2016-01-02 01:00:00,19039
2016-01-02 02:00:00,18904
2016-01-02 03:00:00,18985
2016-01-02 04:00:00,19242
2016-01-02 05:00:00,19731
2016-01-02 06:00:00,20397
2016-01-02 07:00:00,21290
2016-01-02 08:00:00,22149
2016-01-02 09:00:00,22970
2016-01-02 10:00:00,23487
2016-01-02 11:00:00,23649
2016-01-02 12:00:00,23521
2016-01-02 13:00:00,23769
2016-01-02 14:00:00,24090
2016-01-02 15:00:00,24440
2016-01-02 16:00:00,24838
2016-01-02 17:00:00,24792
2016-01-02 18:00:00,24434
2016-01-02 19:00:00,23960
2016-01-02 20:00:00,23469
2016-01-02 21:00:00,22955
2016-01-02 22:00:00,22505
2016-01-02 23:00:00,21977
2016-01-03 00:00:00,21655
2016-01-03 01:00:00,21443
2016-01-03 02:00:00,21305
2016-01-03 03:00:00,21223
2016-01-03 04:00:00,21403
2016-01-03 05:00:00,21670
2016-01-03 06:00:00,22125
2016-01-03 07:00:00,22781
2016-01-03 08:00:00,23527
2016-01-03 09:00:00,24302
2016-01-03 10:00:00,24465
2016-01-03 11:00:00,24516
2016-01-03 12:00:00,24674
2016-01-03 13:00:00,24695
2016-01-03 14:00:00,25325
2016-01-03 15:00:00,25823
2016-01-03 16:00:00,26019
2016-01-03 17:00:00,25764
2016-01-03 18:00:00,25455
2016-01-03 19:00:00,25138
2016-01-03 20:00:00,24787
2016-01-03 21:00:00,24192
2016-01-03 22:00:00,23510
2016-01-03 23:00:00,22694
2016-01-04 00:00:00,22472
2016-01-04 01:00:00,22286
2016-01-04 02:00:00,22283
2016-01-04 03:00:00,22378
2016-01-04 04:00:00,23282
2016-01-04 05:00:00,25142
2016-01-04 06:00:00,27603
2016-01-04 07:00:00,28348
2016-01-04 08:00:00,28300
2016-01-04 09:00:00,28245
2016-01-04 10:00:00,28216
2016-01-04 11:00:00,28161
2016-01-04 12:00:00,28326
2016-01-04 13:00:00,28153
2016-01-04 14:00:00,28269
2016-01-04 15:00:00,28869
2016-01-04 16:00:00,28713
2016-01-04 17:00:00,28015
2016-01-04 18:00:00,27763
2016-01-04 19:00:00,27259
2016-01-04 20:00:00,26780
2016-01-04 21:00:00,25754
2016-01-04 22:00:00,24498
2016-01-04 23:00:00,23884
2016-01-05 00:00:00,23554
2016-01-05 01:00:00,23482
2016-01-05 02:00:00,23415
2016-01-05 03:00:00,23550
2016-01-05 04:00:00,24139
2016-01-05 05:00:00,25869
2016-01-05 06:00:00,28307
2016-01-05 07:00:00,29118
2016-01-05 08:00:00,28803
2016-01-05 09:00:00,28602
2016-01-05 10:00:00,28602
2016-01-05 11:00:00,28445
2016-01-05 12:00:00,28487
2016-01-05 13:00:00,28425
2016-01-05 14:00:00,28511
2016-01-05 15:00:00,28966
2016-01-05 16:00:00,28855
2016-01-05 17:00:00,28425
2016-01-05 18:00:00,28071
2016-01-05 19:00:00,27608
2016-01-05 20:00:00,27226
2016-01-05 21:00:00,26694
2016-01-05 22:00:00,25560
2016-01-05 23:00:00,24497
2016-01-06 00:00:00,24080
2016-01-06 01:00:00,23941
2016-01-06 02:00:00,23947
2016-01-06 03:00:00,24192
2016-01-06 04:00:00,24775
2016-01-06 05:00:00,26573
2016-01-06 06:00:00,29044
2016-01-06 07:00:00,29847
2016-01-06 08:00:00,29788
2016-01-06 09:00:00,29616
2016-01-06 10:00:00,29286
2016-01-06 11:00:00,29301
2016-01-06 12:00:00,29134
2016-01-06 13:00:00,29161
2016-01-06 14:00:00,29199
2016-01-06 15:00:00,29649
2016-01-06 16:00:00,29680
2016-01-06 17:00:00,29086
2016-01-06 18:00:00,28897
2016-01-06 19:00:00,28653
2016-01-06 20:00:00,28216
2016-01-06 21:00:00,27401
2016-01-06 22:00:00,26286
2016-01-06 23:00:00,25366
2016-01-07 00:00:00,24885
2016-01-07 01:00:00,24522
2016-01-07 02:00:00,24446
2016-01-07 03:00:00,24768
2016-01-07 04:00:00,25508
2016-01-07 05:00:00,27299
2016-01-07 06:00:00,29486
2016-01-07 07:00:00,30162
2016-01-07 08:00:00,30063
2016-01-07 09:00:00,30132
2016-01-07 10:00:00,29969
2016-01-07 11:00:00,29774
2016-01-07 12:00:00,29717
2016-01-07 13:00:00,29800
2016-01-07 14:00:00,29913
2016-01-07 15:00:00,30161
2016-01-07 16:00:00,30068
2016-01-07 17:00:00,29575
2016-01-07 18:00:00,29263
2016-01-07 19:00:00,28837
2016-01-07 20:00:00,28197
2016-01-07 21:00:00,27368
2016-01-07 22:00:00,26237
2016-01-07 23:00:00,25307
2016-01-08 00:00:00,24781
2016-01-08 01:00:00,24636
2016-01-08 02:00:00,24620
2016-01-08 03:00:00,24880
2016-01-08 04:00:00,25502
2016-01-08 05:00:00,27320
2016-01-08 06:00:00,29355
2016-01-08 07:00:00,30134
2016-01-08 08:00:00,30172
2016-01-08 09:00:00,30163
2016-01-08 10:00:00,30046
2016-01-08 11:00:00,29860
2016-01-08 12:00:00,29555
2016-01-08 13:00:00,29426
2016-01-08 14:00:00,29582
2016-01-08 15:00:00,29833
2016-01-08 16:00:00,29713
2016-01-08 17:00:00,29495
2016-01-08 18:00:00,29138
2016-01-08 19:00:00,28467
2016-01-08 20:00:00,27594
2016-01-08 21:00:00,26991
2016-01-08 22:00:00,26129
2016-01-08 23:00:00,25679
2016-01-09 00:00:00,25067
2016-01-09 01:00:00,24701
2016-01-09 02:00:00,24692
2016-01-09 03:00:00,24649
2016-01-09 04:00:00,24809
2016-01-09 05:00:00,25132
2016-01-09 06:00:00,25967
2016-01-09 07:00:00,26888
2016-01-09 08:00:00,27740
2016-01-09 09:00:00,28386
2016-01-09 10:00:00,28650
2016-01-09 11:00:00,28537
2016-01-09 12:00:00,28315
2016-01-09 13:00:00,28307
2016-01-09 14:00:00,28312
2016-01-09 15:00:00,28650
2016-01-09 16:00:00,28776
2016-01-09 17:00:00,28723
2016-01-09 18:00:00,28262
2016-01-09 19:00:00,27524
2016-01-09 20:00:00,26948
2016-01-09 21:00:00,26275
2016-01-09 22:00:00,25588
2016-01-09 23:00:00,24824
2016-01-10 00:00:00,24410
2016-01-10 01:00:00,24111
2016-01-10 02:00:00,23966
2016-01-10 03:00:00,23854
2016-01-10 04:00:00,23999
2016-01-10 05:00:00,24291
2016-01-10 06:00:00,24646
2016-01-10 07:00:00,25240
2016-01-10 08:00:00,25929
2016-01-10 09:00:00,26602
2016-01-10 10:00:00,27051
2016-01-10 11:00:00,27074
2016-01-10 12:00:00,27104
2016-01-10 13:00:00,26994
2016-01-10 14:00:00,26977
2016-01-10 15:00:00,27271
2016-01-10 16:00:00,27319
2016-01-10 17:00:00,27065
2016-01-10 18:00:00,26851
2016-01-10 19:00:00,26505
2016-01-10 20:00:00,26033
2016-01-10 21:00:00,25248
2016-01-10 22:00:00,24185
2016-01-10 23:00:00,23505
2016-01-11 00:00:00,22913
2016-01-11 01:00:00,22625
2016-01-11 02:00:00,22594
2016-01-11 03:00:00,22711
2016-01-11 04:00:00,23520
2016-01-11 05:00:00,25409
2016-01-11 06:00:00,27502
2016-01-11 07:00:00,28041
2016-01-11 08:00:00,27827
2016-01-11 09:00:00,27819
2016-01-11 10:00:00,27630
2016-01-11 11:00:00,27386
2016-01-11 12:00:00,27582
2016-01-11 13:00:00,27607
2016-01-11 14:00:00,27741
2016-01-11 15:00:00,28015
2016-01-11 16:00:00,27678
2016-01-11 17:00:00,27457
2016-01-11 18:00:00,27244
2016-01-11 19:00:00,26736
2016-01-11 20:00:00,26238
2016-01-11 21:00:00,25183
2016-01-11 22:00:00,23955
2016-01-11 23:00:00,23156
2016-01-12 00:00:00,22719
2016-01-12 01:00:00,22262
2016-01-12 02:00:00,22343
2016-01-12 03:00:00,22537
2016-01-12 04:00:00,23489
2016-01-12 05:00:00,25419
2016-01-12 06:00:00,27663
2016-01-12 07:00:00,28424
2016-01-12 08:00:00,28353
2016-01-12 09:00:00,28049
2016-01-12 10:00:00,27945
2016-01-12 11:00:00,27577
2016-01-12 12:00:00,27775
2016-01-12 13:00:00,27749
2016-01-12 14:00:00,27940
2016-01-12 15:00:00,28338
2016-01-12 16:00:00,28122
2016-01-12 17:00:00,27703
2016-01-12 18:00:00,27465
2016-01-12 19:00:00,27165
2016-01-12 20:00:00,26655
2016-01-12 21:00:00,25639
2016-01-12 22:00:00,24441
2016-01-12 23:00:00,23531
2016-01-13 00:00:00,23033
2016-01-13 01:00:00,22845
2016-01-13 02:00:00,22908
2016-01-13 03:00:00,23220
2016-01-13 04:00:00,23793
2016-01-13 05:00:00,25644
2016-01-13 06:00:00,27831
2016-01-13 07:00:00,28486
2016-01-13 08:00:00,28426
2016-01-13 09:00:00,28601
2016-01-13 10:00:00,28321
