time,irradiance
2016-01-01 00:00:00,0.0
2016-01-01 01:00:00,0.0
2016-01-01 02:00:00,0.0
2016-01-01 03:00:00,0.0
2016-01-01 04:00:00,0.0
2016-01-01 05:00:00,0.0
2016-01-01 06:00:00,7.87
2016-01-01 07:00:00,43.17
2016-01-01 08:00:00,64.62
2016-01-01 09:00:00,89.51
2016-01-01 10:00:00,78.2
2016-01-01 11:00:00,113.77
2016-01-01 12:00:00,113.18
2016-01-01 13:00:00,75.53
2016-01-01 14:00:00,25.84
2016-01-01 15:00:00,0.0
2016-01-01 16:00:00,0.0
2016-01-01 17:00:00,0.0
2016-01-01 18:00:00,0.0
2016-01-01 19:00:00,0.0
2016-01-01 20:00:00,0.0
2016-01-01 21:00:00,0.0
2016-01-01 22:00:00,0.0
2016-01-01 23:00:00,0.0
2016-01-02 00:00:00,0.0
2016-01-02 01:00:00,0.0
2016-01-02 02:00:00,0.0
2016-01-02 03:00:00,0.0
2016-01-02 04:00:00,0.0
2016-01-02 05:00:00,0.0
2016-01-02 06:00:00,5.88
2016-01-02 07:00:00,38.78
2016-01-02 08:00:00,74.53
2016-01-02 09:00:00,91.09
2016-01-02 10:00:00,98.15
2016-01-02 11:00:00,93.13
2016-01-02 12:00:00,84.44
2016-01-02 13:00:00,54.8
2016-01-02 14:00:00,13.62
2016-01-02 15:00:00,0.0
2016-01-02 16:00:00,0.0
2016-01-02 17:00:00,0.0
2016-01-02 18:00:00,0.0
2016-01-02 19:00:00,0.0
2016-01-02 20:00:00,0.0
2016-01-02 21:00:00,0.0
2016-01-02 22:00:00,0.0
2016-01-02 23:00:00,0.0
2016-01-03 00:00:00,0.0
2016-01-03 01:00:00,0.0
2016-01-03 02:00:00,0.0
2016-01-03 03:00:00,0.0
2016-01-03 04:00:00,0.0
2016-01-03 05:00:00,0.0
2016-01-03 06:00:00,5.57
2016-01-03 07:00:00,33.67
2016-01-03 08:00:00,57.56
2016-01-03 09:00:00,91.82
2016-01-03 10:00:00,70.41
2016-01-03 11:00:00,95.67
2016-01-03 12:00:00,79.37
2016-01-03 13:00:00,53.26
2016-01-03 14:00:00,21.54
2016-01-03 15:00:00,0.0
2016-01-03 16:00:00,0.0
2016-01-03 17:00:00,0.0
2016-01-03 18:00:00,0.0
2016-01-03 19:00:00,0.0
2016-01-03 20:00:00,0.0
2016-01-03 21:00:00,0.0
2016-01-03 22:00:00,0.0
2016-01-03 23:00:00,0.0
2016-01-04 00:00:00,0.0
2016-01-04 01:00:00,0.0
2016-01-04 02:00:00,0.0
2016-01-04 03:00:00,0.0
2016-01-04 04:00:00,0.0
2016-01-04 05:00:00,0.0
2016-01-04 06:00:00,8.73
2016-01-04 07:00:00,49.46
2016-01-04 08:00:00,103.81
2016-01-04 09:00:00,146.67
2016-01-04 10:00:00,158.07
2016-01-04 11:00:00,127.75
2016-01-04 12:00:00,102.36
2016-01-04 13:00:00,67.02
2016-01-04 14:00:00,21.18
2016-01-04 15:00:00,0.0
2016-01-04 16:00:00,0.0
2016-01-04 17:00:00,0.0
2016-01-04 18:00:00,0.0
2016-01-04 19:00:00,0.0
2016-01-04 20:00:00,0.0
2016-01-04 21:00:00,0.0
2016-01-04 22:00:00,0.0
2016-01-04 23:00:00,0.0
2016-01-05 00:00:00,0.0
2016-01-05 01:00:00,0.0
2016-01-05 02:00:00,0.0
2016-01-05 03:00:00,0.0
2016-01-05 04:00:00,0.0
2016-01-05 05:00:00,0.0
2016-01-05 06:00:00,6.11
2016-01-05 07:00:00,47.65
2016-01-05 08:00:00,85.89
2016-01-05 09:00:00,138.84
2016-01-05 10:00:00,158.93
2016-01-05 11:00:00,151.42
2016-01-05 12:00:00,109.42
2016-01-05 13:00:00,79.78
2016-01-05 14:00:00,28.01
2016-01-05 15:00:00,0.0
2016-01-05 16:00:00,0.0
2016-01-05 17:00:00,0.0
2016-01-05 18:00:00,0.0
2016-01-05 19:00:00,0.0
2016-01-05 20:00:00,0.0
2016-01-05 21:00:00,0.0
2016-01-05 22:00:00,0.0
2016-01-05 23:00:00,0.0
2016-01-06 00:00:00,0.0
2016-01-06 01:00:00,0.0
2016-01-06 02:00:00,0.0
2016-01-06 03:00:00,0.0
2016-01-06 04:00:00,0.0
2016-01-06 05:00:00,0.0
2016-01-06 06:00:00,4.16
2016-01-06 07:00:00,58.6
2016-01-06 08:00:00,114.85
2016-01-06 09:00:00,137.03
2016-01-06 10:00:00,138.75
2016-01-06 11:00:00,158.97
2016-01-06 12:00:00,125.58
2016-01-06 13:00:00,79.65
2016-01-06 14:00:00,25.84
2016-01-06 15:00:00,0.0
2016-01-06 16:00:00,0.0
2016-01-06 17:00:00,0.0
2016-01-06 18:00:00,0.0
2016-01-06 19:00:00,0.0
2016-01-06 20:00:00,0.0
2016-01-06 21:00:00,0.0
2016-01-06 22:00:00,0.0
2016-01-06 23:00:00,0.0
2016-01-07 00:00:00,0.0
2016-01-07 01:00:00,0.0
2016-01-07 02:00:00,0.0
2016-01-07 03:00:00,0.0
2016-01-07 04:00:00,0.0
2016-01-07 05:00:00,0.0
2016-01-07 06:00:00,2.53
2016-01-07 07:00:00,17.11
2016-01-07 08:00:00,40.41
2016-01-07 09:00:00,48.19
2016-01-07 10:00:00,63.08
2016-01-07 11:00:00,68.42
2016-01-07 12:00:00,74.44
2016-01-07 13:00:00,69.83
2016-01-07 14:00:00,24.57
2016-01-07 15:00:00,0.0
2016-01-07 16:00:00,0.0
2016-01-07 17:00:00,0.0
2016-01-07 18:00:00,0.0
2016-01-07 19:00:00,0.0
2016-01-07 20:00:00,0.0
2016-01-07 21:00:00,0.0
2016-01-07 22:00:00,0.0
2016-01-07 23:00:00,0.0
2016-01-08 00:00:00,0.0
2016-01-08 01:00:00,0.0
2016-01-08 02:00:00,0.0
2016-01-08 03:00:00,0.0
2016-01-08 04:00:00,0.0
2016-01-08 05:00:00,0.0
2016-01-08 06:00:00,7.69
2016-01-08 07:00:00,49.19
2016-01-08 08:00:00,82.0
2016-01-08 09:00:00,121.1
2016-01-08 10:00:00,94.81
2016-01-08 11:00:00,92.0
2016-01-08 12:00:00,106.53
2016-01-08 13:00:00,79.28
2016-01-08 14:00:00,29.32
2016-01-08 15:00:00,0.0
2016-01-08 16:00:00,0.0
2016-01-08 17:00:00,0.0
2016-01-08 18:00:00,0.0
2016-01-08 19:00:00,0.0
2016-01-08 20:00:00,0.0
2016-01-08 21:00:00,0.0
2016-01-08 22:00:00,0.0
2016-01-08 23:00:00,0.0
2016-01-09 00:00:00,0.0
2016-01-09 01:00:00,0.0
2016-01-09 02:00:00,0.0
2016-01-09 03:00:00,0.0
2016-01-09 04:00:00,0.0
2016-01-09 05:00:00,0.0
2016-01-09 06:00:00,3.58
2016-01-09 07:00:00,26.65
2016-01-09 08:00:00,52.58
2016-01-09 09:00:00,84.13
2016-01-09 10:00:00,96.3
2016-01-09 11:00:00,112.45
2016-01-09 12:00:00,107.79
2016-01-09 13:00:00,47.83
2016-01-09 14:00:00,25.34
2016-01-09 15:00:00,0.0
2016-01-09 16:00:00,0.0
2016-01-09 17:00:00,0.0
2016-01-09 18:00:00,0.0
2016-01-09 19:00:00,0.0
2016-01-09 20:00:00,0.0
2016-01-09 21:00:00,0.0
2016-01-09 22:00:00,0.0
2016-01-09 23:00:00,0.0
2016-01-10 00:00:00,0.0
2016-01-10 01:00:00,0.0
2016-01-10 02:00:00,0.0
2016-01-10 03:00:00,0.0
2016-01-10 04:00:00,0.0
2016-01-10 05:00:00,0.0
2016-01-10 06:00:00,4.21
2016-01-10 07:00:00,35.25
2016-01-10 08:00:00,80.28
2016-01-10 09:00:00,97.84
2016-01-10 10:00:00,66.88
2016-01-10 11:00:00,62.77
2016-01-10 12:00:00,93.31
2016-01-10 13:00:00,79.1
2016-01-10 14:00:00,29.1
2016-01-10 15:00:00,0.0
2016-01-10 16:00:00,0.0
2016-01-10 17:00:00,0.0
2016-01-10 18:00:00,0.0
2016-01-10 19:00:00,0.0
2016-01-10 20:00:00,0.0
2016-01-10 21:00:00,0.0
2016-01-10 22:00:00,0.0
2016-01-10 23:00:00,0.0
2016-01-11 00:00:00,0.0
2016-01-11 01:00:00,0.0
2016-01-11 02:00:00,0.0
2016-01-11 03:00:00,0.0
2016-01-11 04:00:00,0.0
2016-01-11 05:00:00,0.0
2016-01-11 06:00:00,7.92
2016-01-11 07:00:00,43.44
2016-01-11 08:00:00,95.67
2016-01-11 09:00:00,133.81
2016-01-11 10:00:00,139.83
2016-01-11 11:00:00,122.18
2016-01-11 12:00:00,110.15
2016-01-11 13:00:00,83.54
2016-01-11 14:00:00,37.33
2016-01-11 15:00:00,0.0
2016-01-11 16:00:00,0.0
2016-01-11 17:00:00,0.0
2016-01-11 18:00:00,0.0
2016-01-11 19:00:00,0.0
2016-01-11 20:00:00,0.0
2016-01-11 21:00:00,0.0
2016-01-11 22:00:00,0.0
2016-01-11 23:00:00,0.0
2016-01-12 00:00:00,0.0
2016-01-12 01:00:00,0.0
2016-01-12 02:00:00,0.0
2016-01-12 03:00:00,0.0
2016-01-12 04:00:00,0.0
2016-01-12 05:00:00,0.0
2016-01-12 06:00:00,7.01
2016-01-12 07:00:00,44.8
2016-01-12 08:00:00,60.23
2016-01-12 09:00:00,85.21
2016-01-12 10:00:00,94.44
2016-01-12 11:00:00,93.76
2016-01-12 12:00:00,84.8
2016-01-12 13:00:00,56.29
2016-01-12 14:00:00,28.46
2016-01-12 15:00:00,0.0
2016-01-12 16:00:00,0.0
2016-01-12 17:00:00,0.0
2016-01-12 18:00:00,0.0
2016-01-12 19:00:00,0.0
2016-01-12 20:00:00,0.0
2016-01-12 21:00:00,0.0
2016-01-12 22:00:00,0.0
2016-01-12 23:00:00,0.0
2016-01-13 00:00:00,0.0
2016-01-13 01:00:00,0.0
2016-01-13 02:00:00,0.0
2016-01-13 03:00:00,0.0
2016-01-13 04:00:00,0.0
2016-01-13 05:00:00,0.0
2016-01-13 06:00:00,9.32
2016-01-13 07:00:00,54.76
2016-01-13 08:00:00,98.7
2016-01-13 09:00:00,131.23
2016-01-13 10:00:00,128.34
2016-01-13 11:00:00,81.5
