_time,load
2019-05-05 00:00:00,16851
2019-05-05 01:00:00,17003
2019-05-05 02:00:00,16639
2019-05-05 03:00:00,16822
2019-05-05 04:00:00,16866
2019-05-05 05:00:00,17234
2019-05-05 06:00:00,17489
2019-05-05 07:00:00,17932
2019-05-05 08:00:00,18309
2019-05-05 09:00:00,18271
2019-05-05 10:00:00,18000
2019-05-05 11:00:00,17809
2019-05-05 12:00:00,17819
2019-05-05 13:00:00,17872
2019-05-05 14:00:00,17885
2019-05-05 15:00:00,18010
2019-05-05 16:00:00,18096
2019-05-05 17:00:00,18300
2019-05-05 18:00:00,18503
2019-05-05 19:00:00,18717
2019-05-05 20:00:00,18436
2019-05-05 21:00:00,17665
2019-05-05 22:00:00,17119
2019-05-05 23:00:00,16870
